#Version	Dtd Type	Intermediate Path	Element	Attributes
38.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	grammaticalCase	<div>+scope §d ⟪set/literal/units⟫</div>
38.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	grammaticalGender	<div>+scope §d ⟪set/literal/units⟫</div>
38.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	grammaticalDefiniteness	<div>+scope §d ⟪set/literal/units⟫</div>
38.0	supplementalData	​/metadata​/alias/	languageAlias	<div>type ⟪or/validity/locale||literal/aa_SAAHO, … no_BOKMAL, no_NYNORSK, … cel-gaulish, i-default, i-enochian, i-mingo, zh-min⟫➠⟪or/validity/locale||literal/aa_saaho, … no_bokmal, no_nynorsk, … cel_gaulish, i_default, i_enochian, i_mingo, und_aaland, und_bokmal, und_hakka, und_lojban, und_nynorsk, und_saaho, und_xiang, zh_min, en_GB_oed, zh_cmn, zh_cmn_Hans, zh_cmn_Hant, zh_gan, zh_wuu, zh_yue⟫</div><div>replacement ⟪or/validity/locale||literal/en-x-i-default, nan-x-zh-min, see-x-i-mingo, und-x-i-enochian, xtg-x-cel-gaulish⟫➠⟪or/validity/locale||literal/en_x_i_default, nan_x_zh_min, see_x_i_mingo, und_x_i_enochian, xtg_x_cel_gaulish⟫</div>
38.0	supplementalData	​/metadata​/alias/	variantAlias	<div>type ⟪or/validity/variant||literal/AALAND, POLYTONI⟫➠⟪or/validity/variant||literal/aaland, polytoni⟫</div>
37.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/intervalFormats/	intervalFormatItem	<div>id ⟪… yMd⟫➠⟪… yMd, GGGGGyM, GGGGGyMEd, GGGGGyMd, GyMMMM, GyMMMMEd, GyMMMMd⟫</div>
37.0	ldml	​/localeDisplayNames​/keys/	key	<div>type ⟪bcp47/anykey⟫➠⟪or/bcp47/anykey||literal/t⟫</div>
37.0	ldml	​/localeDisplayNames​/languages/	language	<div>alt ⟪… variant⟫➠⟪… variant, menu⟫</div>
37.0	ldml	​/localeDisplayNames​/subdivisions/	subdivision	<div>type ⟪validity/subdivision⟫➠⟪or/validity/subdivision||literal/AS, AW, AX, BL, CP, CW, GF, GP, GU, HK, IC, MF, MO, MP, MQ, NC, PF, PM, PR, RE, SX, TA, TF, TW, UM, VI, WF, YT, itsd, no50⟫</div>
37.0	ldml	​/units​/unitLength/	compoundUnit	<div>type ⟪literal/per, times⟫➠⟪or/regex/10p-?[0-9]{1,2}||literal/per, times, power2, power3⟫</div>
37.0	ldml	​/units​/unitLength​/compoundUnit/	+compoundUnitPattern1	<div>+count §d ⟨0, 1, zero, one, two, few, many, other⟩</div>
37.0	ldml	​/units​/unitLength​/compoundUnit/	+unitPrefixPattern	 
37.0	supplementalData	/	+unitConstants	 
37.0	supplementalData	/	+unitQuantities	 
37.0	supplementalData	/	+convertUnits	 
37.0	supplementalData	/	+grammaticalData	 
37.0	supplementalData	​/convertUnits/	+convertUnit	<div>+source §d ⟪regex/(100-)?[A-Za-z][-A-Za-z0-9]*⟫</div><div>+baseUnit §v ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+factor §v ⟪regex/[-+*/\._ 0-9a-zA-Z]+⟫</div><div>+offset §v ⟪regex/[-+*/\._ 0-9a-zA-Z]+⟫</div><div>+systems §v ⟪set/literal/ussystem, uksystem⟫</div>
37.0	supplementalData	​/grammaticalData/	+grammaticalFeatures	<div>+targets §d ⟪set/literal/nominal⟫</div><div>+locales §d ⟪set/validity/language⟫</div>
37.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	+grammaticalCase	<div>+values §v ⟪set/literal/ablative, accusative, comitative, dative, ergative, genitive, instrumental, locative, locativecopulative, nominative, oblique, partitive, prepositional, sociative, vocative⟫</div>
37.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	+grammaticalGender	<div>+values §v ⟪set/literal/animate, common, feminine, inanimate, masculine, neuter, personal⟫</div>
37.0	supplementalData	​/grammaticalData​/grammaticalFeatures/	+grammaticalDefiniteness	<div>+values §v ⟪set/literal/definite, indefinite, unspecified, construct⟫</div>
37.0	supplementalData	​/metadata​/alias/	languageAlias	<div>type ⟪… zul⟫➠⟪… zul, cel-gaulish, i-default, i-enochian, i-mingo, zh-min⟫</div><div>replacement ⟪validity/locale⟫➠⟪or/validity/locale||literal/en-x-i-default, nan-x-zh-min, see-x-i-mingo, und-x-i-enochian, xtg-x-cel-gaulish⟫</div>
37.0	supplementalData	​/metadata​/alias/	subdivisionAlias	<div>replacement ⟪set/or/validity/region||validity/subdivision⟫➠⟪set/or/validity/region||validity/subdivision||literal/cnmn, cz663, no50⟫</div>
37.0	supplementalData	​/metadata​/alias/	variantAlias	<div>replacement ⟪or/validity/variant||validity/region⟫➠⟪or/validity/variant||validity/region||literal/hy, hyw⟫</div>
37.0	supplementalData	​/metadata​/alias/	+unitAlias	<div>+type §d ⟪validity/short-unit/deprecated⟫</div><div>+replacement §v ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+reason §v ⟨deprecated⟩</div>
37.0	supplementalData	​/metadata​/alias/	+usageAlias	<div>+type §d ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+replacement §v ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+reason §v ⟨deprecated⟩</div>
37.0	supplementalData	​/subdivisionContainment/	subgroup	<div>contains ⟪set/validity/subdivision⟫➠⟪set/or/validity/subdivision||literal/itca, itnu, itor, itsd, itss, no01, no02, no03, no04, no05, no06, no07, no08, no09, no10, no11, no12, no14, no15, no18, no19, no20, no21, no22, no50⟫</div>
37.0	supplementalData	​/unitConstants/	+unitConstant	<div>+constant §d ⟪regex/[A-Za-z][_A-Za-z0-9]*⟫</div><div>+value §v ⟪regex/[-+*/\._ 0-9a-zA-Z]+⟫</div><div>+status §v ⟪literal/approximate, exact⟫</div>
37.0	supplementalData	​/unitPreferenceData/	unitPreferences	<div>category ⟪literal/area, concentr, consumption, duration, energy, length, mass, pressure, speed, temperature, volume⟫➠⟪regex/[a-z]+([-][a-z]+)*⟫</div><div>usage ⟪literal/baromtrc, blood-glucose, food, land-agricult, land-commercl, land-residntl, music-track, person, person-age, person-usage, rainfall, road, road-travel, snowfall, tv-program, vehicle, vehicle-fuel, visiblty, weather, wind⟫➠⟪regex/[a-z]+([-][a-z]+)*⟫</div><div>⊖scope</div>
37.0	supplementalData	​/unitPreferenceData​/unitPreferences/	unitPreference⇣	<div>+geq §d ⟪any⟫</div><div>+skeleton §v ⟪any⟫</div>
37.0	supplementalData	​/unitQuantities/	+unitQuantity	<div>+baseUnit §d ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+quantity §v ⟪regex/[A-Za-z][-A-Za-z0-9]*⟫</div><div>+status §v ⟪regex/simple⟫</div>
36.0	ldml	​/units​/unitLength/	compoundUnit	<div>type ⟪literal/per⟫➠⟪literal/per, times⟫</div>
35.0	ldml	​/annotations/	annotation	<div>cp ➠⟪any⟫</div>
35.0	ldml	​/characterLabels/	characterLabelPattern	<div>type ➠⟪literal/all, category-list, compatibility, enclosed, extended, historic, miscellaneous, other, scripts, strokes⟫</div>
35.0	ldml	​/characterLabels/	characterLabel	<div>type ➠⟪literal/activities, african_scripts, american_scripts, animal, animals_nature, arrows, body, box_drawing, braille, building, bullets_stars, consonantal_jamo, currency_symbols, dash_connector, digits, dingbats, divination_symbols, downwards_arrows, downwards_upwards_arrows, east_asian_scripts, emoji, european_scripts, female, flag, flags, food_drink, format, format_whitespace, full_width_form_variant, geometric_shapes, half_width_form_variant, han_characters, han_radicals, hanja, hanzi_simplified, hanzi_traditional, heart, historic_scripts, ideographic_desc_characters, japanese_kana, kanbun, kanji, keycap, leftwards_arrows, leftwards_rightwards_arrows, letterlike_symbols, limited_use, male, math_symbols, middle_eastern_scripts, miscellaneous, modern_scripts, modifier, musical_symbols, nature, nonspacing, numbers, objects, other, paired, person, phonetic_alphabet, pictographs, place, plant, punctuation, rightwards_arrows, sign_standard_symbols, small_form_variant, smiley, smileys_people, south_asian_scripts, southeast_asian_scripts, spacing, sport, symbols, technical_symbols, tone_marks, travel, travel_places, upwards_arrows, variant_forms, vocalic_jamo, weather, western_asian_scripts, whitespace⟫</div>
35.0	ldml	​/characters​/parseLenients/	parseLenient	<div>sample ➠⟪any⟫</div>
35.0	ldml	​/collations/	collation	<div>type ➠⟪or/bcp47/co||regex/private-.*||literal/digits-after⟫</div><div>alt ➠⟪literal/proposed, short, variant⟫</div>
35.0	ldml	​/contextTransforms/	contextTransformUsage	<div>type ➠⟪literal/calendar-field, currencyName, day-format-except-narrow, day-standalone-except-narrow, era-abbr, era-name, keyValue, languages, month-format-except-narrow, month-standalone-except-narrow, number-spellout, relative, script, typographicNames⟫</div>
35.0	ldml	​/dates​/calendars/	calendar	<div>type ➠⟪bcp47/ca⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/cyclicNameSets​/cyclicNameSet​/cyclicNameContext​/cyclicNameWidth/	cyclicName	<div>type ➠⟪range/1~60⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateFormats​/dateFormatLength/	dateFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateFormats​/dateFormatLength​/dateFormat/	pattern	<div>type ➠⟪literal/1000, 10000, 100000, 1000000, 10000000, 100000000, 1000000000, 10000000000, 100000000000, 1000000000000, 10000000000000, 100000000000000, approximately, atLeast, atMost, range, standard⟫</div><div>numbers ➠⟪literal/M=romanlow, d=hanidays, hanidec, hebr, y=jpanyear⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/appendItems/	appendItem	<div>request ➠⟪literal/Day, Day-Of-Week, Era, Hour, Minute, Month, Quarter, Second, Timezone, Week, Year⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/availableFormats/	dateFormatItem	<div>id ➠⟪literal/Bh, Bhm, Bhms, E, EBhm, EBhms, EEEEd, EHm, EHms, Ed, Ehm, Ehms, Gy, GyM, GyMMM, GyMMMEEEEd, GyMMMEd, GyMMMM, GyMMMMEd, GyMMMMd, GyMMMd, GyMd, H, HHmm, HHmmZ, HHmmss, Hm, HmZ, Hmm, Hms, Hmsv, Hmsvvvv, Hmv, M, MEEEEd, MEd, MMM, MMMEEEEd, MMMEd, MMMM, MMMMEEEEd, MMMMEd, MMMMW, MMMMd, MMMMdd, MMMd, MMMdd, MMd, MMdd, Md, Mdd, UM, UMMM, UMMMd, UMd, d, h, hhmm, hhmmss, hm, hms, hmsv, hmsvvvv, hmv, mmss, ms, y, yM, yMEEEEd, yMEd, yMM, yMMM, yMMMEEEEd, yMMMEd, yMMMM, yMMMMEEEEd, yMMMMEd, yMMMMccccd, yMMMMd, yMMMd, yMMdd, yMd, yQ, yQQQ, yQQQQ, yw, yyyy, yyyyM, yyyyMEEEEd, yyyyMEd, yyyyMM, yyyyMMM, yyyyMMMEEEEd, yyyyMMMEd, yyyyMMMM, yyyyMMMMEd, yyyyMMMMccccd, yyyyMMMMd, yyyyMMMd, yyyyMMdd, yyyyMd, yyyyQQQ, yyyyQQQQ⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/dateTimeFormatLength/	dateTimeFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/intervalFormats/	intervalFormatItem	<div>id ➠⟪literal/Bh, Bhm, Gy, GyM, GyMEd, GyMMM, GyMMMEd, GyMMMd, GyMd, H, Hm, Hmv, Hv, M, MEd, MMM, MMMEEEEd, MMMEd, MMMM, MMMMEd, MMMMd, MMMd, Md, d, h, hm, hmv, hv, y, yM, yMEd, yMMM, yMMMEEEEd, yMMMEd, yMMMM, yMMMMEEEEd, yMMMMEd, yMMMMd, yMMMd, yMd⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dateTimeFormats​/intervalFormats​/intervalFormatItem/	greatestDifference	<div>id ➠⟪literal/B, G, H, M, a, d, h, m, y⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dayPeriods/	dayPeriodContext	<div>type ➠⟪literal/format, stand-alone⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/dayPeriods​/dayPeriodContext​/dayPeriodWidth/	dayPeriod	<div>type ➠⟪literal/afternoon1, afternoon2, am, evening1, evening2, midnight, morning1, morning2, night1, night2, noon, pm⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/eras​/eraNames/	era	<div>type ➠⟪range/0~237⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/fields​/field/	relative	<div>type ➠⟪range/-2~3⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/fields​/field/	relativeTime	<div>type ➠⟪literal/future, past⟫</div>
35.0	ldml	​/dates​/calendars​/calendar​/timeFormats​/timeFormatLength/	timeFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/dates​/timeZoneNames/	zone	<div>type ➠⟪bcp47/tz⟫</div>
35.0	ldml	​/dates​/timeZoneNames/	metazone	<div>type ➠⟪metazone⟫</div>
35.0	ldml	​/dates​/timeZoneNames​/zone/	exemplarCity	<div>alt ➠⟪literal/formal, secondary⟫</div>
35.0	ldml	​/listPatterns/	listPattern	<div>type ➠⟪literal/or, or-narrow, or-short, standard-narrow, standard-short, unit, unit-narrow, unit-short⟫</div>
35.0	ldml	​/localeDisplayNames​/codePatterns/	codePattern	<div>type ➠⟪literal/language, script, territory⟫</div>
35.0	ldml	​/localeDisplayNames​/keys/	key	<div>type ➠⟪bcp47/anykey⟫</div>
35.0	ldml	​/localeDisplayNames​/languages/	language	<div>type ➠⟪validity/locale⟫</div><div>alt ➠⟪literal/long, secondary, short, variant⟫</div>
35.0	ldml	​/localeDisplayNames​/scripts/	script	<div>type ➠⟪validity/script⟫</div><div>alt ➠⟪literal/secondary, short, stand-alone, variant⟫</div>
35.0	ldml	​/localeDisplayNames​/subdivisions/	subdivision	<div>type ➠⟪validity/subdivision⟫</div>
35.0	ldml	​/localeDisplayNames​/territories/	territory	<div>type ➠⟪validity/region⟫</div><div>alt ➠⟪literal/short, variant⟫</div>
35.0	ldml	​/localeDisplayNames​/types/	type	<div>key ➠⟪bcp47/anykey⟫</div><div>type ➠⟪bcp47/anyvalue⟫</div><div>alt ➠⟪literal/short, variant⟫</div>
35.0	ldml	​/localeDisplayNames​/variants/	variant	<div>type ➠⟪validity/variant⟫</div><div>alt ➠⟪literal/secondary, variant⟫</div>
35.0	ldml	​/metadata​/casingData/	casingItem	<div>type ➠⟪any⟫</div>
35.0	ldml	​/numbers/	defaultNumberingSystem	<div>alt ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	symbols	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	decimalFormats	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	scientificFormats	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	percentFormats	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	currencyFormats	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers/	miscPatterns	<div>numberSystem ➠⟪bcp47/nu⟫</div>
35.0	ldml	​/numbers​/currencies/	currency	<div>type ➠⟪validity/currency⟫</div>
35.0	ldml	​/numbers​/currencies​/currency/	symbol	<div>alt ➠⟪literal/formal, narrow, variant⟫</div>
35.0	ldml	​/numbers​/currencyFormats​/currencyFormatLength/	currencyFormat	<div>type ➠⟪literal/accounting, standard⟫</div>
35.0	ldml	​/numbers​/decimalFormats​/decimalFormatLength/	decimalFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/numbers​/minimalPairs/	pluralMinimalPairs	<div>count ➠⟪literal/few, many, one, other, two, zero⟫</div>
35.0	ldml	​/numbers​/minimalPairs/	ordinalMinimalPairs	<div>ordinal ➠⟪literal/few, many, one, other, two, zero⟫</div>
35.0	ldml	​/numbers​/percentFormats​/percentFormatLength/	percentFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/numbers​/scientificFormats​/scientificFormatLength/	scientificFormat	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/rbnf/	rulesetGrouping	<div>type ➠⟪literal/NumberingSystemRules, OrdinalRules, SpelloutRules⟫</div>
35.0	ldml	​/rbnf​/rulesetGrouping/	ruleset	<div>type ➠⟪regex/(ord-M-)?[\-0-9a-z]+⟫</div>
35.0	ldml	​/rbnf​/rulesetGrouping​/ruleset/	rbnfrule	<div>value ➠⟪or/range/-1.0E20~1.0E20||literal/-x, 0, 0.x, NaN, -Inf, Inf, x,x, x.x⟫</div><div>radix ➠⟪literal/1,000, 100, 1000, 100000, 20⟫</div>
35.0	ldml	​/segmentations/	segmentation	<div>type ➠⟪literal/GraphemeClusterBreak, LineBreak, SentenceBreak, WordBreak⟫</div>
35.0	ldml	​/segmentations​/segmentation/	suppressions	<div>type ➠⟪literal/standard⟫</div>
35.0	ldml	​/segmentations​/segmentation​/segmentRules/	rule	<div>id ➠⟪range/0.0~9999.0⟫</div>
35.0	ldml	​/segmentations​/segmentation​/variables/	variable	<div>id ➠⟪regex/\$[a-zA-Z0-9_]+⟫</div>
35.0	ldml	​/typographicNames/	styleName	<div>subtype ➠⟪literal/-12, 0, 1, 100, 112.5, 12, 125, 144, 150, 18, 200, 24, 300, 350, 380, 400, 50, 500, 600, 62.5, 700, 72, 75, 8, 800, 87.5, 900, 950⟫</div><div>alt ➠⟪literal/compressed, demi, extended, heavy, narrow, short, ultra, ultrablack, ultraheavy, wide⟫</div>
35.0	ldml	​/typographicNames/	featureName	<div>alt ➠⟪literal/short, variant⟫</div>
35.0	ldml	​/units/	unit	<div>type ➠⟪validity/unit⟫</div>
35.0	ldml	​/units/	durationUnit	<div>type ➠⟪literal/hm, hms, ms⟫</div>
35.0	ldml	​/units​/unitLength/	compoundUnit	<div>type ➠⟪literal/per⟫</div>
35.0	supplementalData	/	version	<div>number ➠⟪any⟫</div><div>cldrVersion ➠⟪version⟫</div><div>unicodeVersion ➠⟪version⟫</div>
35.0	supplementalData	/	dayPeriodRuleSet	<div>type ➠⟪literal/selection⟫</div>
35.0	supplementalData	​/calendarData/	calendar	<div>type ➠⟪bcp47/ca⟫</div>
35.0	supplementalData	​/calendarData​/calendar​/eras/	era	<div>type ➠⟪range/0~250⟫</div><div>start ➠⟪time/yyyy-MM-dd⟫</div><div>end ➠⟪time/yyyy-MM-dd⟫</div>
35.0	supplementalData	​/calendarPreferenceData/	calendarPreference	<div>territories ➠⟪set/validity/region⟫</div><div>ordering ➠⟪set/bcp47/ca⟫</div>
35.0	supplementalData	​/characters​/character-fallback/	character	<div>value ➠⟪any⟫</div>
35.0	supplementalData	​/codeMappings/	territoryCodes	<div>type ➠⟪validity/region⟫</div><div>numeric ➠⟪range/1~999⟫</div><div>alpha3 ➠⟪regex/[A-Z]{3}⟫</div><div>fips10 ➠⟪regex/[A-Z]{2}⟫</div>
35.0	supplementalData	​/codeMappings/	currencyCodes	<div>type ➠⟪validity/currency⟫</div><div>numeric ➠⟪range/1~999⟫</div>
35.0	supplementalData	​/coverageLevels/	coverageVariable	<div>key ➠⟪any⟫</div><div>value ➠⟪any⟫</div>
35.0	supplementalData	​/coverageLevels/	coverageLevel	<div>inLanguage ➠⟪any⟫</div><div>inScript ➠⟪validity/script⟫</div><div>inTerritory ➠⟪any⟫</div><div>value ➠⟪literal/basic, core, minimal, moderate, modern, posix⟫</div><div>match ➠⟪any⟫</div>
35.0	supplementalData	​/coverageLevels​/approvalRequirements/	approvalRequirement	<div>votes ➠⟪any⟫</div><div>locales ➠⟪any⟫</div><div>paths ➠⟪any⟫</div>
35.0	supplementalData	​/currencyData/	region	<div>iso3166 ➠⟪validity/region⟫</div>
35.0	supplementalData	​/currencyData​/fractions/	info	<div>iso4217 ➠⟪or/validity/currency||literal/DEFAULT⟫</div><div>digits ➠⟪range/0~5⟫</div><div>rounding ➠⟪range/0~5⟫</div><div>cashDigits ➠⟪range/0~100⟫</div><div>cashRounding ➠⟪literal/0, 5, 50⟫</div>
35.0	supplementalData	​/currencyData​/region/	currency	<div>from ➠⟪time/yyyy-MM-dd⟫</div><div>to ➠⟪time/yyyy-MM-dd⟫</div><div>iso4217 ➠⟪validity/currency⟫</div>
35.0	supplementalData	​/dayPeriodRuleSet/	dayPeriodRules	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/dayPeriodRuleSet​/dayPeriodRules/	dayPeriodRule	<div>type ➠⟪literal/afternoon1, afternoon2, am, evening1, evening2, midnight, morning1, morning2, night1, night2, noon, pm⟫</div><div>at ➠⟪time/HH:mm⟫</div><div>after ➠⟪time/HH:mm⟫</div><div>before ➠⟪time/HH:mm⟫</div><div>from ➠⟪time/HH:mm⟫</div><div>to ➠⟪time/HH:mm⟫</div>
35.0	supplementalData	​/gender/	personList	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/idValidity/	id	<div>type ➠⟪literal/currency, language, region, script, subdivision, unit, variant⟫</div><div>idStatus ➠⟪literal/deprecated, macroregion, private_use, regular, reserved, special, unknown⟫</div>
35.0	supplementalData	​/languageData/	language	<div>type ➠⟪set/validity/language⟫</div><div>scripts ➠⟪set/validity/script⟫</div><div>territories ➠⟪set/validity/region⟫</div><div>alt ➠⟪literal/secondary, variant⟫</div>
35.0	supplementalData	​/languageGroups/	languageGroup	<div>parent ➠⟪validity/language⟫</div>
35.0	supplementalData	​/languageMatching/	languageMatches	<div>type ➠⟪literal/written, written_new⟫</div>
35.0	supplementalData	​/languageMatching​/languageMatches/	paradigmLocales	<div>locales ➠⟪set/validity/locale⟫</div>
35.0	supplementalData	​/languageMatching​/languageMatches/	matchVariable	<div>id ➠⟪regex/\$[a-zA-Z0-9_]+⟫</div><div>value ➠⟪any⟫</div>
