Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ps	38.0	د چاپ حق | سي	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
ps	38.0	آر | راجستر شوی	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
ps	38.0	تجارتي نښان | تجارتي نښه | ټي ايم | نښه	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
ps	38.0	لږ یا مساوي | لږ-بیا | مساوي | نابرابري	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
ps	38.0	ايم | دايره	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
ps	38.0	a | A بټن (د وینې ډول) | د وينې ډول	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
ps	38.0	B بټن (د وینې ډول) | بي | د وينې ډول	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
ps	38.0	او | او بټن (د وينې ډول) | او بټن (د وینې ډول) | د وينې ډول	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
ps	38.0	P بټن | ودرېدل	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
ps	38.0	AB بټن (د وینې ډول) | ای بي | د وينې ډول	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
ps	38.0	سي ايل | سي ايل بټن	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
ps	38.0	د سوړ بټن | سوړ	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
ps	38.0	آزاد | د آزاد بټن	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
ps	38.0	آي ډي | آي ډي بټن | آي ډې بټن | پېژندګلو	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
ps	38.0	نوې | نوې بټن	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
ps	38.0	اين جي | اين جي بټن	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
