# Grammatical Features
#Locale	ID	Feature	Usage	Values
Tamil	ta	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental, ablative
Tamil	ta	grammaticalCase	units	nominative, accusative, dative, ablative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} நாள்	<div class='cldr_example'><span class='cldr_substituted'>1</span> நாள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> நாள்</div>
Plural	other	{0} நாட்கள்	<div class='cldr_example'><span class='cldr_substituted'>2</span> நாட்கள்</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> நாட்கள்</div>
Case (for measurement units)	nominative	{0} ரூ. 50 மதிப்புடையது	<div class='cldr_example'><span class='cldr_substituted'>1 சென்டிமீட்டர்</span> ரூ. 50 மதிப்புடையது</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> ரூ. 50 மதிப்புடையது</div>
Case (for measurement units)	accusative	… என்பதை {0} … ஆல் பெருக்குதல்	<div class='cldr_example'>… என்பதை <span class='cldr_substituted'>1 சென்டிமீட்டரை</span> … ஆல் பெருக்குதல்</div><div class='cldr_example'>❌  … என்பதை <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> … ஆல் பெருக்குதல்</div>
Case (for measurement units)	dative	… என்பதற்கு {0} …	<div class='cldr_example'>… என்பதற்கு <span class='cldr_substituted'>1 சென்டிமீட்டருக்கு</span> …</div><div class='cldr_example'>❌  … என்பதற்கு <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> …</div>
Case (for measurement units)	ablative	… என்பதிலிருந்து {0} …	<div class='cldr_example'>… என்பதிலிருந்து <span class='cldr_substituted'>1 சென்டிமீட்டரில்</span> …</div><div class='cldr_example'>❌  … என்பதிலிருந்து <span class='cldr_substituted'>1 சென்டிமீட்டரை</span> …</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
acceleration	meters per second squared	nominative	{0} மீட்டர்/சதுரவிநாடி	1 மீட்டர்/சதுரவிநாடி ரூ. 50 மதிப்புடையது	{0} மீட்டர்கள்/சதுரவிநாடி	2 மீட்டர்கள்/சதுரவிநாடி ரூ. 50 மதிப்புடையது
acceleration	meters per second squared	accusative	{0} மீட்டர்/சதுரவிநாடியை	… என்பதை 1 மீட்டர்/சதுரவிநாடியை … ஆல் பெருக்குதல்	{0} மீட்டர்கள்/சதுரவிநாடியை	… என்பதை 2 மீட்டர்கள்/சதுரவிநாடியை … ஆல் பெருக்குதல்
acceleration	meters per second squared	dative	{0} மீட்டர்/சதுரவிநாடிக்கு	… என்பதற்கு 1 மீட்டர்/சதுரவிநாடிக்கு …	{0} மீட்டர்கள்/சதுரவிநாடிக்கு	… என்பதற்கு 2 மீட்டர்கள்/சதுரவிநாடிக்கு …
acceleration	meters per second squared	ablative	{0} மீட்டர்/சதுரவிநாடியில்	… என்பதிலிருந்து 1 மீட்டர்/சதுரவிநாடியில் …	{0} மீட்டர்கள்/சதுரவிநாடியில்	… என்பதிலிருந்து 2 மீட்டர்கள்/சதுரவிநாடியில் …
acceleration	g-force • ( = 9.80665 m/s²)	nominative	{0} ஜி-ஃபோர்ஸ்	1 ஜி-ஃபோர்ஸ் ரூ. 50 மதிப்புடையது	{0} ஜி-ஃபோர்ஸ்	2 ஜி-ஃபோர்ஸ் ரூ. 50 மதிப்புடையது
acceleration	g-force • ( = 9.80665 m/s²)	accusative	{0} ஜி-ஃபோர்ஸை	… என்பதை 1 ஜி-ஃபோர்ஸை … ஆல் பெருக்குதல்	{0} ஜி-ஃபோர்ஸை	… என்பதை 2 ஜி-ஃபோர்ஸை … ஆல் பெருக்குதல்
acceleration	g-force • ( = 9.80665 m/s²)	dative	{0} ஜி-ஃபோர்ஸுக்கு	… என்பதற்கு 1 ஜி-ஃபோர்ஸுக்கு …	{0} ஜி-ஃபோர்ஸுக்கு	… என்பதற்கு 2 ஜி-ஃபோர்ஸுக்கு …
acceleration	g-force • ( = 9.80665 m/s²)	ablative	{0} ஜி-ஃபோர்ஸில்	… என்பதிலிருந்து 1 ஜி-ஃபோர்ஸில் …	{0} ஜி-ஃபோர்ஸில்	… என்பதிலிருந்து 2 ஜி-ஃபோர்ஸில் …
angle	arc-second • ( = 0.0000007˙716049382 rev)	nominative	{0} ஆர்க் விநாடி	1 ஆர்க் விநாடி ரூ. 50 மதிப்புடையது	{0} ஆர்க் விநாடிகள்	2 ஆர்க் விநாடிகள் ரூ. 50 மதிப்புடையது
angle	arc-second • ( = 0.0000007˙716049382 rev)	accusative	{0} ஆர்க் விநாடியை	… என்பதை 1 ஆர்க் விநாடியை … ஆல் பெருக்குதல்	{0} ஆர்க் விநாடிகளை	… என்பதை 2 ஆர்க் விநாடிகளை … ஆல் பெருக்குதல்
