Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
twq	2.0.1	Bengali senni	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
twq	2.0.1	Antigua nda Barbuuda	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
twq	2.0.1	Bosni nda Herzegovine	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
twq	2.0.1	Cek labo	�	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
twq	2.0.1	Seŋ Kitts nda Nevis	�	26.0	St. Kitts & Nevis	Saint Kitts and Nevis	//ldml/localeDisplayNames/territories/territory[@type="KN"]
twq	2.0.1	Seŋ Lussia	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
twq	2.0.1	Maynamar	�	24.0	Myanmar (Burma)	Myanmar [Burma]	//ldml/localeDisplayNames/territories/territory[@type="MM"]
twq	2.0.1	Seŋ Piyer nda Mikelon	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
twq	2.0.1	Seŋ Helena	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
twq	2.0.1	Sao Tome nda Prinsipe	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
twq	2.0.1	Swaziland	�	35.0	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
twq	2.0.1	Turk nda Kayikos Gungey	�	26.0	Turks & Caicos Islands	Turks and Caicos Islands	//ldml/localeDisplayNames/territories/territory[@type="TC"]
twq	2.0.1	Trinidad nda Tobaago	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
twq	2.0.1	Seŋvinsaŋ nda Grenadine	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
twq	2.0.1	Wallis nda Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
twq	2.0.1	Britin Pund	�	27.0	British Pound	British Pound Sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName
twq	2.0.1	Gaana Šiidi	�	24.0	Ghanaian Cedi (1979–2007)	Ghanaian Cedi (1979-2007)	//ldml/numbers/currencies/currency[@type="GHC"]/displayName
twq	2.0.1	Mozambik Metikal	�	24.0	Mozambican Metical (1980–2006)	Mozambican Metical (1980-2006)	//ldml/numbers/currencies/currency[@type="MZM"]/displayName
twq	2.0.1	Suudaŋ Pund	�	24.0	Sudanese Pound (1957–1998)	Sudanese Pound (1957-1998)	//ldml/numbers/currencies/currency[@type="SDP"]/displayName
twq	2.0.1	Seŋ Helena Fraŋ	�	26.0	St. Helena Pound	Saint Helena Pound	//ldml/numbers/currencies/currency[@type="SHP"]/displayName
twq	2.0.1	CFA Fraŋ (BEAC)	�	27.0	Central African CFA Franc	CFA Franc BEAC	//ldml/numbers/currencies/currency[@type="XAF"]/displayName
twq	2.0.1	CFA Fraŋ (BCEAO)	�	27.0	West African CFA Franc	CFA Franc BCEAO	//ldml/numbers/currencies/currency[@type="XOF"]/displayName
twq	2.0.1	Zimbabwe Dollar	�	24.0	Zimbabwean Dollar (1980–2008)	Zimbabwean Dollar (1980-2008)	//ldml/numbers/currencies/currency[@type="ZWD"]/displayName
twq	21.0	#,##0.00¤	�	24.0	¤#,##0.00	¤#,##0.00;(¤#,##0.00)	//ldml/numbers/currencyFormats[@numberSystem="latn"]/currencyFormatLength/currencyFormat[@type="standard"]/pattern[@type="standard"]
twq	23.1	Zaari	�	28.0	day	Day	//ldml/dates/fields/field[@type="day"]/displayName
twq	23.1	Bi	�	24.0	yesterday	Yesterday	//ldml/dates/fields/field[@type="day"]/relative[@type="-1"]
twq	23.1	Hõo	�	24.0	today	Today	//ldml/dates/fields/field[@type="day"]/relative[@type="0"]
twq	23.1	Suba	�	24.0	tomorrow	Tomorrow	//ldml/dates/fields/field[@type="day"]/relative[@type="1"]
twq	23.1	Zaman	�	28.0	era	Era	//ldml/dates/fields/field[@type="era"]/displayName
twq	23.1	Guuru	�	28.0	hour	Hour	//ldml/dates/fields/field[@type="hour"]/displayName
twq	23.1	Miniti	�	28.0	minute	Minute	//ldml/dates/fields/field[@type="minute"]/displayName
twq	23.1	Handu	�	28.0	month	Month	//ldml/dates/fields/field[@type="month"]/displayName
twq	23.1	Miti	�	28.0	second	Second	//ldml/dates/fields/field[@type="second"]/displayName
twq	23.1	Hebu	�	28.0	week	Week	//ldml/dates/fields/field[@type="week"]/displayName
twq	23.1	Jiiri	�	28.0	year	Year	//ldml/dates/fields/field[@type="year"]/displayName
twq	23.1	Leerazuu	�	28.0	time zone	Time Zone	//ldml/dates/fields/field[@type="zone"]/displayName
