# Grammatical Features
#Locale	ID	Feature	Usage	Values
Arabic	ar	grammaticalCase	general	nominative, accusative, genitive
Arabic	ar	grammaticalDefiniteness	general	indefinite, definite, construct
Arabic	ar	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	‫{0} ولد حضر‬	‫<div class='cldr_example'><span class='cldr_substituted'>0</span> ولد حضر</div><div class='cldr_example'>❌  <span class='cldr_substituted'>100</span> ولد حضر</div>‬
Plural	one	‫ولد واحد حضر‬	‫<div class='cldr_example'>ولد واحد حضر</div><div class='cldr_example'>❌  ولد واحد حضر</div>‬
Plural	two	‫ولدان حضرا‬	‫<div class='cldr_example'>ولدان حضرا</div><div class='cldr_example'>❌  ولدان حضرا</div>‬
Plural	few	‫{0} أولاد حضروا‬	‫<div class='cldr_example'><span class='cldr_substituted'>3</span> أولاد حضروا</div><div class='cldr_example'>❌  <span class='cldr_substituted'>100</span> أولاد حضروا</div>‬
Plural	many	‫{0} ولدًا حضروا‬	‫<div class='cldr_example'><span class='cldr_substituted'>11</span> ولدًا حضروا</div><div class='cldr_example'>❌  <span class='cldr_substituted'>100</span> ولدًا حضروا</div>‬
Plural	other	‫{0} ولد حضروا‬	‫<div class='cldr_example'><span class='cldr_substituted'>100</span> ولد حضروا</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> ولد حضروا</div>‬
Gender (for measurement units)	masculine	‫{0} واحد‬	‫<div class='cldr_example'><span class='cldr_substituted'>يوم</span> واحد</div><div class='cldr_example'>❌  <span class='cldr_substituted'>ساعة</span> واحد</div>‬
Gender (for measurement units)	feminine	‫{0} واحدة‬	‫<div class='cldr_example'><span class='cldr_substituted'>ساعة</span> واحدة</div><div class='cldr_example'>❌  <span class='cldr_substituted'>يوم</span> واحدة</div>‬

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit
acceleration	meters per second squared	masculine	‫متر في الثانية المربعة واحد‬
acceleration	g-force • ( = 9.80665 m/s²)	feminine	‫قوة تسارع واحدة‬
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	‫ثانية قوسية واحدة‬
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	‫دقيقة قوسية واحدة‬
angle	degree • ( = 0.002˙7 rev)	feminine	‫درجة واحدة‬
angle	radian • ( = ~0.1591549430918953 rev)	masculine	‫راديان واحد‬
angle	revolutions	feminine	‫دورة واحدة‬
area	square centimeters	masculine	‫سنتيمتر مربع واحد‬
area	square-inch • ( = 6.4516 cm²)	n/a	n/a
area	square-foot • ( = 929.0304 cm²)	n/a	n/a
area	square-yard • ( = 0.83612736 m²)	n/a	n/a
area	square meters	masculine	‫متر مربع واحد‬
area	acre • ( = 4046.8564224 m²)	n/a	n/a
area	hectares	masculine	‫هكتار واحد‬
area	square kilometers	masculine	‫كيلومتر مربع واحد‬
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	‫ملي مول/لتر واحد‬
consumption	liters per 100 kilometers	masculine	‫لتر لكل ١٠٠ كيلومتر واحد‬
consumption	liters per kilometer	masculine	‫لتر لكل كيلومتر واحد‬
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a
digital	bits	masculine	‫بت واحد‬
digital	byte • ( = 8 bit)	masculine	‫بايت واحد‬
digital	kilobits	masculine	‫كيلوبت واحد‬
digital	kilobyte • ( = 8 kb)	masculine	‫كيلوبايت واحد‬
digital	megabits	masculine	‫ميغابت واحد‬
digital	megabyte • ( = 8 Mb)	masculine	‫ميغابايت واحد‬
digital	gigabits	masculine	‫غيغابت واحد‬
digital	gigabyte • ( = 8 Gb)	masculine	‫غيغابايت واحد‬
digital	terabits	masculine	‫تيرابت واحد‬
digital	terabyte • ( = 8 Tb)	masculine	‫تيرابايت واحد‬
digital	petabyte • ( = 8000 Tb)	masculine	‫بيتابايت واحد‬
duration	nanoseconds	feminine	‫نانو ثانية واحدة‬
duration	microseconds	feminine	‫ميكروثانية واحدة‬
duration	milliseconds	feminine	‫ملي ثانية واحدة‬
duration	seconds	feminine	‫ثانية واحدة‬
duration	minute • ( = 60 sec)	feminine	‫دقيقة واحدة‬
duration	hour • ( = 3600 sec)	feminine	‫ساعة واحدة‬
duration	day • ( = 86400 sec)	masculine	‫يوم واحد‬
