Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
de	38.0	C | Copyright	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
de	38.0	Markenzeichen | R | Registered-Trademark	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
de	38.0	Markenzeichen | TM | Trademark	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
de	38.0	Pfeil nach links auf Strich zulaufend über Pfeil nach rechts auf Strich zulaufend	�	40.0	arrow | bar | leftwards | leftwards over rightwards arrow bars | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
de	38.0	Pfeil nach links auf Strich zulaufend über Pfeil nach rechts auf Strich zulaufend	�	40.0	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
de	38.0	gleich | ist gleich | kleiner als | kleiner als oder gleich | Vergleichszeichen	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
de	38.0	Buchstabe „M“ in Kreis | Kreis | M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
de	38.0	a | Blut | Blutgruppe | Großbuchstabe A in rotem Quadrat | negativ | positiv	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
de	38.0	b | Blut | Blutgruppe | Großbuchstabe B in rotem Quadrat | negativ | positiv	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
de	38.0	0 | Blut | Blutgruppe | Großbuchstabe O in rotem Quadrat | negativ | positiv	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
de	38.0	Großbuchstabe P in blauem Quadrat | Parkplatz | Quadrat	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
de	38.0	ab | Blut | Blutgruppe | Großbuchstaben AB in rotem Quadrat | negativ | positiv	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
de	38.0	CL | Großbuchstaben CL in rotem Quadrat	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
de	38.0	Cool | Wort „Cool“ in blauem Quadrat	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
de	38.0	Free | Wort „Free“ in blauem Quadrat	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
de	38.0	Großbuchstaben ID in lila Quadrat | ID	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
de	38.0	Neu | New | Wort „New“ in blauem Quadrat	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
de	38.0	Großbuchstaben NG in blauem Quadrat | NG	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
de	38.0	Hilfe | SOS | SOS-Zeichen	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
de	38.0	„Up“ | blau | Quadrat | Schriftzug | Schriftzug „UP!“ im blauen Quadrat	�	40.0	mark | UP | UP! | UP! button	mark | up | UP! button	//ldml/annotations/annotation[@cp="🆙"]
de	38.0	Großbuchstaben VS in orangefarbenem Quadrat | Schriftzug VS in orangem Quadrat | versus | VS	�	40.0	versus | VS | VS button	versus | vs | VS button	//ldml/annotations/annotation[@cp="🆚"]
de	38.0	ATM | Symbol „Geldautomat“	�	40.0	ATM | ATM sign | automated | bank | teller	atm | ATM sign | automated | bank | teller	//ldml/annotations/annotation[@cp="🏧"]
de	38.0	Koala | Koalabär | Tier	�	40.0	face | koala | marsupial	bear | koala	//ldml/annotations/annotation[@cp="🐨"]
de	38.0	Auge | Auge in Sprechblase | Dialog | reden | sprechen	�	40.0	balloon | bubble | eye | eye in speech bubble | speech | witness	eye | eye in speech bubble | speech bubble | witness	//ldml/annotations/annotation[@cp="👁‍🗨"]
de	38.0	Comic | Schlaf | Schlafen | Schnarchen | ZZZ	�	40.0	comic | good night | sleep | ZZZ	comic | sleep | zzz	//ldml/annotations/annotation[@cp="💤"]
de	38.0	Schlafen	�	40.0	ZZZ	zzz	//ldml/annotations/annotation[@cp="💤"][@type="tts"]
de	38.0	Blu-Ray | CD | DVD	�	40.0	CD | computer | disk | optical	cd | computer | disk | optical	//ldml/annotations/annotation[@cp="💿"]
de	38.0	CD | DVD	�	40.0	Blu-ray | computer | disk | dvd | DVD | optical	blu-ray | computer | disk | dvd | optical	//ldml/annotations/annotation[@cp="📀"]
de	38.0	BACK-Pfeil | links | Pfeil | zurück	�	40.0	arrow | BACK	arrow | back | BACK arrow	//ldml/annotations/annotation[@cp="🔙"]
de	38.0	END-Pfeil | links | Pfeil	�	40.0	arrow | END	arrow | end | END arrow	//ldml/annotations/annotation[@cp="🔚"]
de	38.0	ON!-Pfeil | Pfeil | rechts und links	�	40.0	arrow | mark | ON | ON!	arrow | mark | on | ON! arrow	//ldml/annotations/annotation[@cp="🔛"]
de	38.0	Pfeil | rechts | SOON-Pfeil	�	40.0	arrow | SOON	arrow | soon | SOON arrow	//ldml/annotations/annotation[@cp="🔜"]
de	38.0	Pfeil nach oben | TOP-Pfeil	�	40.0	arrow | TOP | up	arrow | top | TOP arrow | up	//ldml/annotations/annotation[@cp="🔝"]
de	38.0	aufwärts | Aufwärts-Schaltfläche | nach oben | Pfeil | Schaltfläche	�	42.0	arrow | button | upwards button	arrow | button | red | upwards button	//ldml/annotations/annotation[@cp="🔼"]
de	38.0	abwärts | Abwärts-Schaltfläche | nach unten | Pfeil | Schaltfläche	�	42.0	arrow | button | down | downwards button	arrow | button | down | downwards button | red	//ldml/annotations/annotation[@cp="🔽"]
de	38.0	Dialog | reden | Sprechblase links | sprechen | Unterhaltung	�	40.0	balloon | bubble | dialog | left speech bubble | speech	dialog | left speech bubble | speech	//ldml/annotations/annotation[@cp="🗨"]
de	38.0	Gesicht | rot | schmollendes Gesicht | wütend	�	40.0	angry | enraged | face | mad | pouting | rage | red	angry | face | mad | pouting | rage | red	//ldml/annotations/annotation[@cp="😡"]
de	38.0	schmollendes Gesicht	�	40.0	enraged face	pouting face	//ldml/annotations/annotation[@cp="😡"][@type="tts"]
de	38.0	Gesicht | müde | schläfriges Gesicht	�	40.0	face | good night | sleep | sleepy face	face | sleep | sleepy face	//ldml/annotations/annotation[@cp="😪"]
de	38.0	Gesicht | schlafen | schlafendes Gesicht | schnarchen | zzz	�	40.0	face | good night | sleep | sleeping face | ZZZ	face | sleep | sleeping face | zzz	//ldml/annotations/annotation[@cp="😴"]
de	38.0	benommen | benommenes Gesicht | Gesicht	�	40.0	crossed-out eyes | dead | face | face with crossed-out eyes | knocked out	dead | face | knocked out | knocked-out face	//ldml/annotations/annotation[@cp="😵"]
de	38.0	benommenes Gesicht	�	40.0	face with crossed-out eyes	knocked-out face	//ldml/annotations/annotation[@cp="😵"][@type="tts"]
de	38.0	Bus | Bushaltestelle | Haltestelle	�	40.0	bus | stop	bus | busstop | stop	//ldml/annotations/annotation[@cp="🚏"]
de	38.0	Herren | Herrentoilette	�	40.0	bathroom | lavatory | man | men’s room | restroom | toilet | WC	lavatory | man | men’s room | restroom | wc	//ldml/annotations/annotation[@cp="🚹"]
de	38.0	Damen | Damentoilette	�	40.0	bathroom | lavatory | restroom | toilet | WC | woman | women’s room	lavatory | restroom | wc | woman | women’s room	//ldml/annotations/annotation[@cp="🚺"]
de	38.0	Toilette | Toiletten | WC	�	40.0	bathroom | lavatory | restroom | toilet | WC	lavatory | restroom | WC	//ldml/annotations/annotation[@cp="🚻"]
de	38.0	Toilette | WC	�	40.0	bathroom | closet | lavatory | restroom | toilet | water | WC	closet | lavatory | restroom | water | wc	//ldml/annotations/annotation[@cp="🚾"]
de	38.0	Bett | im Bett liegende Person | schlafen	�	40.0	good night | hotel | person in bed | sleep	hotel | person in bed | sleep	//ldml/annotations/annotation[@cp="🛌"]
de	38.0	Gesicht | Gesicht mit umarmenden Händen | umarmen | Umarmung	�	40.0	face | hug | hugging | open hands | smiling face | smiling face with open hands	face | hug | hugging	//ldml/annotations/annotation[@cp="🤗"]
de	38.0	Gesicht mit umarmenden Händen	�	40.0	smiling face with open hands	hugging face	//ldml/annotations/annotation[@cp="🤗"][@type="tts"]
de	38.0	Seehund | Seelöwe	�	39.0	sea lion | seal	sea Lion | seal	//ldml/annotations/annotation[@cp="🦭"]
de	38.0	Gesicht mit Monokel | Monokel	�	40.0	face | face with monocle | monocle | stuffy	face with monocle | stuffy	//ldml/annotations/annotation[@cp="🧐"]
de	38.0	Weihnachten | Weihnachtsperson	�	baseline	christmas | claus | mx claus	Claus, christmas | mx claus	//ldml/annotations/annotation[@cp="🧑‍🎄"]
de	38.0	Akkordeon | Akkordeons | Concertina | Quetschkommode | Quetschkommoden | Ziehharmonika | Ziehharmonikas	�	39.0	accordion | concertina | squeeze box	accordian | accordion | concertina | squeeze box	//ldml/annotations/annotation[@cp="🪗"]
de	38.0	MMM U	�	40.0	MMM r	MMM r(U)	//ldml/dates/calendars/calendar[@type="chinese"]/dateTimeFormats/availableFormats/dateFormatItem[@id="GyMMM"]
de	38.0	E, d. MMM U	�	40.0	E, MMM d, r	E, MMM d, r(U)	//ldml/dates/calendars/calendar[@type="chinese"]/dateTimeFormats/availableFormats/dateFormatItem[@id="GyMMMEd"]
de	38.0	MMM U	�	40.0	MMM r	MMM r(U)	//ldml/dates/calendars/calendar[@type="chinese"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yyyyMMM"]
de	38.0	E, d. MMM U	�	40.0	E, MMM d, r	E, MMM d, r(U)	//ldml/dates/calendars/calendar[@type="chinese"]/dateTimeFormats/availableFormats/dateFormatItem[@id="yyyyMMMEd"]
de	38.0	Before R.O.C.	�	40.0	B.R.O.C.	Before R.O.C.	//ldml/dates/calendars/calendar[@type="roc"]/eras/eraAbbr/era[@type="0"]
de	38.0	Tag	�	42.0	day	�	//ldml/dates/fields/field[@type="day-narrow"]/displayName
de	38.0	in {0} Tag	�	42.0	in {0}d	�	//ldml/dates/fields/field[@type="day-narrow"]/relativeTime[@type="future"]/relativeTimePattern[@count="one"]
