Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
hi	38.0	कॉपीराइट | कॉपीराइट चिह्न	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
hi	38.0	पंजीकृत | पंजीकृत चिह्न	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
hi	38.0	चिह्न | ट्रेड मार्क चिह्न | व्यापार चिह्न	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
hi	38.0	दाईं ओर तीर बार पर बाईं ओर तीर बार	�	40.0	arrow | bar | leftwards | leftwards over rightwards arrow bars | rightwards	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"]
hi	38.0	दाईं ओर तीर बार पर बाईं ओर तीर बार	�	40.0	leftwards over rightwards arrow bars	leftwards arrow bar over rightwards arrow bar	//ldml/annotations/annotation[@cp="↹"][@type="tts"]
hi	38.0	असमानता | इससे छोटा | इससे छोटा या बराबर | बराबर | बराबरी	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
hi	38.0	m | वृत्त | वृत्त के भीतर M	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
hi	38.0	A बटन (खून का प्रकार) | ए | ए बटन | खून | प्रकार ए | रक्त प्रकार | रक्त प्रकार ए	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
hi	38.0	B | B बटन (रक्त प्रकार) | खून | प्रकार बी | बी | बी बटन | रक्त प्रकार | रक्त प्रकार बी	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
hi	38.0	O बटन (खून का प्रकार) | ओ | खून | चौकोर में ओ बटन | प्रकार ओ | रक्त प्रकार | रक्त प्रकार ओ	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
hi	38.0	चौकोर में पी बटन, पार्किंग | पार्किंग | पार्किंग लॉट	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
hi	38.0	ab | AB | AB बटन (खून का प्रकार) | एबी | एबी बटन | खून | प्रकार एबी | रक्त प्रकार | रक्त प्रकार एबी	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
hi	38.0	CL | क्लीयर | साफ़ | साफ़ चिह्न | साफ़, क्लीयर, साफ़ चिह्न, CL	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
hi	38.0	ठंडा | ठंडा चिह्न | ठंडा, ठंडा चिह्न	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
hi	38.0	चिह्न | निशुल्क | निशुल्क चिह्न, शुल्क मुक्त | शुल्क मुक्त	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
hi	38.0	आईडी | आईडी चिह्न, पहचान | चिह्न | पहचान	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
hi	38.0	NEW बटन | चौकोर में नया चिह्न | नया	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
hi	38.0	चिह्न | चौकोर में ठीक नहीं चिह्न | ठीक नहीं | ठीक नहीं चिह्न	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
hi	38.0	SOS | चिह्न | चौकोर में SOS चिह्न | चौकोर में SOS चिह्न, बचाओ | बचाओ | मदद | सहायता	�	40.0	help | SOS | SOS button	help | sos | SOS button	//ldml/annotations/annotation[@cp="🆘"]
